target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
FHB_rate,rel_r1_CI_RE2_mean,62,-0.49978547541644125,3.538561062894645e-05,-0.5966418178790333,3.09320365847981e-07,0.49978547541644125,0.5966418178790333
FHB_rate,0418_r1_ND_B1_B4_median,62,0.30299643313232194,0.016674340814254625,0.5906687923711413,4.336239804390279e-07,0.30299643313232194,0.5906687923711413
FHB_rate,ratio_r1_NDRE2_mean,62,-0.5005909490834943,3.42137157172034e-05,-0.5890566040703387,4.7446725922515353e-07,0.5005909490834943,0.5890566040703387
FHB_rate,rel_r1_NDRE2_mean,62,-0.5005909490834942,3.42137157172034e-05,-0.5890566040703387,4.7446725922515353e-07,0.5005909490834942,0.5890566040703387
FHB_rate,diff_r1_ND_B5_B6_mean,62,0.5113724216181901,2.1618851425351936e-05,0.5830835785624466,6.594959942430599e-07,0.5113724216181901,0.5830835785624466
FHB_rate,diff_r1_NDRE2_mean,62,-0.5113724216181901,2.1618851425351936e-05,-0.5830835785624466,6.594959942430599e-07,0.5113724216181901,0.5830835785624466
FHB_rate,diff_r1_CI_RE2_mean,62,-0.5020719531441715,3.215220570252051e-05,-0.5764762494607962,9.421443045539077e-07,0.5020719531441715,0.5764762494607962
FHB_rate,ratio_r1_CI_RE2_median,62,-0.5218400219466319,1.3636502662596184e-05,-0.5754719354373453,9.939551537871034e-07,0.5218400219466319,0.5754719354373453
FHB_rate,rel_r1_CI_RE2_median,62,-0.5218400219466317,1.363650266259632e-05,-0.5754719354373453,9.939551537871034e-07,0.5218400219466317,0.5754719354373453
FHB_rate,0418_r1_ND_B1_B2_median,62,0.4026567863045514,0.0011764656270387003,0.5720096949880805,1.1937856137753112e-06,0.4026567863045514,0.5720096949880805
FHB_rate,ratio_r1_NDRE2_median,62,-0.5245734084167758,1.2059963993523318e-05,-0.5697103444607062,1.3466771368015657e-06,0.5245734084167758,0.5697103444607062
FHB_rate,rel_r1_NDRE2_median,62,-0.5245734084167757,1.2059963993523318e-05,-0.5697103444607062,1.3466771368015657e-06,0.5245734084167757,0.5697103444607062
FHB_rate,0418_r1_ND_B3_B4_median,62,0.3816356337352706,0.002209003089728661,0.5661159574294083,1.622889392420933e-06,0.3816356337352706,0.5661159574294083
FHB_rate,0418_r1_RENDVI1_median,62,-0.3816356337352706,0.002209003089728661,-0.5661159574294083,1.622889392420933e-06,0.3816356337352706,0.5661159574294083
FHB_rate,0510_r1_ND_B5_B6_mean,62,0.4740580562905324,9.936800963925089e-05,0.5511305350268652,3.4516504285862994e-06,0.4740580562905324,0.5511305350268652
FHB_rate,0510_r1_NDRE2_mean,62,-0.4740580562905324,9.936800963925089e-05,-0.5511305350268652,3.4516504285862994e-06,0.4740580562905324,0.5511305350268652
FHB_rate,0510_r1_CI_RE2_mean,62,-0.47339679956228176,0.0001019312804295996,-0.5511305350268652,3.4516504285862994e-06,0.47339679956228176,0.5511305350268652
FHB_rate,ratio_r0p5_CI_RE2_mean,62,-0.4806653708459176,7.682012757369831e-05,-0.5489897603979305,3.833177311778462e-06,0.4806653708459176,0.5489897603979305
FHB_rate,rel_r0p5_CI_RE2_mean,62,-0.48066537084591754,7.682012757369831e-05,-0.5489897603979305,3.833177311778462e-06,0.48066537084591754,0.5489897603979305
FHB_rate,ratio_r0p5_NDRE2_mean,62,-0.48329106270826655,6.924995672923345e-05,-0.5474304307299409,4.135488612848804e-06,0.48329106270826655,0.5474304307299409
FHB_rate,rel_r0p5_NDRE2_mean,62,-0.48329106270826655,6.924995672923345e-05,-0.5474304307299409,4.135488612848804e-06,0.48329106270826655,0.5474304307299409
FHB_rate,0418_r0p5_ND_B1_B4_median,62,0.37600632355998376,0.002597155271298126,0.5363036885227616,7.031337464809468e-06,0.37600632355998376,0.5363036885227616
FHB_rate,0418_r1_ND_B2_B3_median,62,-0.4397498137108952,0.00034865009825090594,-0.5332114585031892,8.121855677423728e-06,0.4397498137108952,0.5332114585031892
FHB_rate,0418_r1_ND_B1_B4_mean,62,0.11247591826394926,0.3840932424671362,0.5295113542062649,9.633319915610476e-06,0.11247591826394926,0.5295113542062649
FHB_rate,0418_r0p5_ND_B1_B4_mean,62,0.2228027371019165,0.08175367505525825,0.5224811560421089,1.325040453916984e-05,0.2228027371019165,0.5224811560421089
Flower_num,0510_r1_ND_B2_B3_mean,33,-0.6419928656874444,5.6446521191823845e-05,-0.7416132992408726,7.894312716313138e-07,0.6419928656874444,0.7416132992408726
Flower_num,ratio_r1_EVI_mean,33,-0.612049848264757,0.000153652297487105,-0.7016531531645023,5.3780073420319016e-06,0.612049848264757,0.7016531531645023
