target,scale,feature,feature_type,date_type,statistic,n,pearson_r,pearson_p,spearman_r,spearman_p,fdr_q_within_scale,fdr_q_global,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,max_stat_permutation_p,stability_status
Flower_rat,point,0510_rpt_RVI_mean,predefined_index,0510,mean,33,-0.5104573734061071,0.0024042084499224146,-0.5144449057899103,0.0021920972596485,0.016810024836110226,0.009952441573002678,-0.7728516042804331,-0.16231194642945493,0.0005,0.008,0.0295,0.014985014985014986,unstable_or_not_bootstrapped
Flower_rat,r0p3,rel_r0p3_DVI_mean,predefined_index,rel,mean,33,-0.5997811177423995,0.0002250642621042051,-0.6358364419798923,6.99501237013879e-05,0.008053707241251448,0.0035277548872105356,-0.8182339536767116,-0.36233974471919006,0.0435,0.283,0.4405,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,ratio_r0p3_DVI_mean,predefined_index,ratio,mean,33,-0.5997811177423995,0.0002250642621042051,-0.6358364419798923,6.99501237013879e-05,0.008053707241251448,0.0035277548872105356,-0.8182339536767116,-0.36233974471919006,0.0475,0.286,0.4465,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,0510_r0p3_ND_B2_B3_median,pairwise_nd,0510,median,33,-0.5662976622829256,0.0005917967347591821,-0.6323105467378597,7.892905732304281e-05,0.008053707241251448,0.0035922346576779973,-0.8226446630705071,-0.34758087280667677,0.112,0.307,0.424,0.006993006993006993,moderate
Flower_rat,r0p3,diff_r0p3_DVI_mean,predefined_index,diff,mean,33,-0.60196458079135,0.00021052278864909415,-0.6232439589726327,0.00010695178480329983,0.008053707241251448,0.004246213413679947,-0.8096759936331983,-0.35008050898916976,0.036,0.2055,0.3635,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,0510_r0p3_ND_B2_B3_mean,pairwise_nd,0510,mean,33,-0.5711393161864409,0.0005178763433548389,-0.61955016395717,0.00012071887262147613,0.008053707241251448,0.004416890515915185,-0.8203485447178321,-0.3258996802088892,0.066,0.2465,0.349,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,rel_r0p3_B6_mean,raw_band,rel,mean,33,-0.5519750257723816,0.0008679420774583865,-0.5972194940909631,0.00024326043744769322,0.008053707241251448,0.007093024941597355,-0.7707096172836838,-0.32289264039925986,0.0095,0.0905,0.23,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,ratio_r0p3_B6_mean,raw_band,ratio,mean,33,-0.5519750257723814,0.0008679420774583916,-0.5972194940909631,0.00024326043744769322,0.008053707241251448,0.007093024941597355,-0.7707096172836838,-0.32289264039925986,0.01,0.0895,0.2365,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,diff_r0p3_ND_B2_B3_median,pairwise_nd,diff,median,33,-0.47269123178866496,0.005471958102095781,-0.5936935988489304,0.0002704470837116841,0.008053707241251448,0.007115263207513085,-0.7933195008218263,-0.28303557962972226,0.076,0.1805,0.257,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,diff_r0p3_B6_mean,raw_band,diff,mean,33,-0.5524818496049868,0.0008565092312608605,-0.5876492070054458,0.0003233927375134758,0.008053707241251448,0.007837024002599297,-0.7664280801540931,-0.3178364138054118,0.002,0.0425,0.145,0.006993006993006993,unstable_or_not_bootstrapped
